Feature,R2,RMSE,MAE,Correlation,P_value
CLIP1,0.0001315474510192871,0.5769464232843917,0.4808664619922638,0.6535901,2.0703079014733112e-05
ACBD6,8.404254913330078e-05,0.4461940271872916,0.3844364285469055,0.55640227,0.0005187347179314798
ACSL4,7.891654968261719e-05,0.6385824391684316,0.527312159538269,0.58163327,0.00024773900808134876
STIM1,5.745887756347656e-05,0.7029073802294621,0.5508939027786255,0.72610056,7.938081072771596e-07
SEC11A,5.59687614440918e-05,0.7745973002252037,0.6433064937591553,0.6215577,6.742845763055737e-05
ETFB,5.310773849487305e-05,1.076004541476142,0.8656018376350403,0.7287307,6.919352788828843e-07
COQ8B,4.988908767700195e-05,0.7382146411699534,0.5938436985015869,0.4822465,0.003349485385693097
THOC5,4.929304122924805e-05,0.30906228820515813,0.23784804344177246,0.34394225,0.043064500133036775
PLK1,4.4405460357666016e-05,0.3100859622440644,0.23396554589271545,0.19270281,0.2673972174734296
GMDS,4.392862319946289e-05,0.87370483729222,0.7190790176391602,0.3628631,0.03216239360152813
CS,4.07099723815918e-05,0.4367273865529906,0.34980088472366333,0.47988066,0.0035314905156730914
HEATR1,4.017353057861328e-05,0.5387624651978097,0.42231321334838867,0.4129126,0.013692649053393806
GSPT1,3.737211227416992e-05,0.9389899811377777,0.7097660899162292,0.5157439,0.0015190960677794118
FAF1,3.635883331298828e-05,0.8140904559059676,0.6823217868804932,0.6944879,3.6928323637905556e-06
TTLL12,3.319978713989258e-05,1.1166219280067855,0.8756165504455566,0.6799103,7.042011340777641e-06
GOSR1,3.254413604736328e-05,0.6313050293306208,0.5477792620658875,0.7125995,1.5688549914323117e-06
HAGH,3.1828880310058594e-05,0.853185210007136,0.6977265477180481,0.71921057,1.1293206559709983e-06
TM9SF2,3.153085708618164e-05,0.4659933252746802,0.36524832248687744,0.69760644,3.200887352687359e-06
WIPF1,2.759695053100586e-05,0.8069094378555881,0.6256518959999084,0.45552084,0.005963150147283343
ATP5F1C,2.6941299438476562e-05,0.5224029508836686,0.4108016788959503,0.38272834,0.02325647726385422
PLOD1,2.682209014892578e-05,1.1532631519956122,0.8759831786155701,0.59211993,0.0001789473592631973
SDC4,2.6524066925048828e-05,0.9418096034401433,0.7755858898162842,0.6529105,2.1258568876754214e-05
SMU1,2.4259090423583984e-05,0.3949924832244504,0.28733399510383606,0.36915052,0.02908415489888781
MAVS,2.384185791015625e-05,0.4670483857294692,0.3902575969696045,0.49496153,0.0025042018954876035
TMLHE,2.3663043975830078e-05,0.5825735292564194,0.5046117305755615,0.68194926,6.448163148746939e-06
HSPA14,2.3424625396728516e-05,0.6459748718051361,0.5122363567352295,0.53225,0.000998080851082143
RUVBL2,2.2590160369873047e-05,0.6302161938726163,0.5277944803237915,0.55151963,0.0005944853424901263
NUDT3,2.2232532501220703e-05,0.7412793274942934,0.6242231130599976,0.6287507,5.231945338452914e-05
SUGP2,2.2172927856445312e-05,0.6661210410182458,0.5317402482032776,0.68822056,4.896054443519024e-06
TRMT5,2.0265579223632812e-05,0.5874596470305573,0.4563649892807007,0.35709175,0.035217449112711456
CTNNB1,1.913309097290039e-05,1.0345577021012655,0.8238489627838135,0.6966768,3.3408866908222e-06
NDUFA7,1.8596649169921875e-05,0.6500086994689376,0.5446531176567078,0.3381506,0.046940639746746345
MTERF4,1.7642974853515625e-05,0.4104832390303425,0.31024569272994995,0.29015523,0.09086862095954047
EMD,1.7583370208740234e-05,0.6152247594657198,0.5040836930274963,0.5615886,0.00044777733630340456
CTSA,1.6808509826660156e-05,0.9218318411859209,0.7878499627113342,0.80364597,6.157600939819069e-09
GINS1,1.6808509826660156e-05,0.29114863537080926,0.24414187669754028,0.15979041,0.35918904547939184
GSK3B,1.5556812286376953e-05,0.7986250341740504,0.6683060526847839,0.62128824,6.806395041112013e-05
YTHDF2,1.5437602996826172e-05,0.9435261012370114,0.7425748705863953,0.56457233,0.0004109895824585821
SZRD1,1.531839370727539e-05,0.500979179985243,0.37512874603271484,0.5569061,0.0005114276809205602
TBC1D10B,1.430511474609375e-05,0.304967690284718,0.24467270076274872,0.32916948,0.05349992819527004
MAP2K1,1.3589859008789062e-05,0.4592399534903105,0.336908757686615,0.21477622,0.21534243545984422
EDC3,1.2636184692382812e-05,0.48463130138138816,0.3738788068294525,0.4021471,0.016628536387719557
DNAJB12,1.2516975402832031e-05,0.8685111520234599,0.7675624489784241,0.79006207,1.664811784057826e-08
EHD1,1.1801719665527344e-05,0.7256438487625229,0.6213832497596741,0.38174933,0.02364144650858601
LRRC47,1.1205673217773438e-05,0.9445166587491364,0.7601120471954346,0.6077862,0.00010773774196257671
SLC39A14,9.894371032714844e-06,0.39458722010265496,0.2904534637928009,0.26241425,0.12778063169989562
HAUS6,9.47713851928711e-06,0.511997438210173,0.39007237553596497,0.5206176,0.0013448536805654603
ATP5PD,8.64267349243164e-06,0.5265296303199309,0.41165345907211304,0.24361135,0.1584711657864108
PFAS,8.165836334228516e-06,0.9803657021646432,0.7740675210952759,0.5939946,0.0001686379654746095
LAMTOR3,7.271766662597656e-06,0.47162934344607194,0.38555794954299927,0.5154388,0.0015306376399559186
MBD3,6.735324859619141e-06,0.410378604744107,0.34055688977241516,0.13557297,0.4374379683406508
PIP4K2A,5.424022674560547e-06,0.5075324827049708,0.3613354563713074,0.15742482,0.3664390416025338
CPT1A,5.304813385009766e-06,1.3430914484930643,1.1682864427566528,0.5315182,0.001017299736859705
STK3,5.245208740234375e-06,0.33739928535367086,0.2614154517650604,0.21563117,0.21347781313159991
ZFAND6,4.76837158203125e-06,0.4564256649987633,0.39798402786254883,0.5027592,0.002083548273728708
UQCRQ,4.5299530029296875e-06,0.6102153656635605,0.5092753767967224,0.5130254,0.001624654713819482
PPCS,4.231929779052734e-06,0.48709840555695605,0.3984543979167938,0.07353623,0.6746198958750503
YIPF6,3.814697265625e-06,0.7936343702062637,0.6375551223754883,0.62908155,5.170465829988263e-05
DDX20,3.516674041748047e-06,0.4492873098051378,0.35040873289108276,0.14617538,0.40209091169626815
PPM1F,2.9206275939941406e-06,0.7203969744551528,0.5594244003295898,0.056135245,0.7487465635614758
FECH,2.8014183044433594e-06,0.7281331139632232,0.5271530151367188,0.18500896,0.28733014556529435
CNOT10,2.1457672119140625e-06,0.39907462472800626,0.32736146450042725,0.5137593,0.0015955400088064513
PARVA,1.8477439880371094e-06,0.6231083854518785,0.45418286323547363,0.15438616,0.37587842505667873
PSMF1,1.4901161193847656e-06,0.9403735626363868,0.7350918650627136,0.46487445,0.004898198621540251
ZC3H18,1.3113021850585938e-06,0.4336843310068701,0.3306657373905182,0.025592407,0.8839750844060041
SRPRA,8.940696716308594e-07,0.6587414676540764,0.5426925420761108,0.018266164,0.9170517119117352
PGAM5,0.0,0.4772346634156556,0.4041634202003479,0.028801473,0.8695443050580647
SHMT1,0.0,0.5654833410762239,0.45015183091163635,0.107090995,0.5403297308329162
ZNF579,-1.1920928955078125e-07,0.4008300045169963,0.3220859467983246,0.1638471,0.3469580895393337
CAP2,-3.5762786865234375e-07,0.7186431390686296,0.5574344992637634,0.008585285,0.960960949813944
AK6,-4.76837158203125e-07,0.5542749832056277,0.4218085706233978,-0.007879812,0.9641667463502022
ACACA,-1.9073486328125e-06,0.4994170247371635,0.369744211435318,0.040590182,0.8169194828598656
HLA-C,-2.0265579223632812e-06,1.3492829166741944,1.1507065296173096,-0.21953642,0.20510089580720758
CDC42EP4,-2.384185791015625e-06,0.4732320131852612,0.3681737184524536,0.14694075,0.3996044145357987
MEF2D,-2.86102294921875e-06,0.7638091527379961,0.5810203552246094,-0.118415244,0.49808779305639694
BAZ2A,-3.0994415283203125e-06,0.41637900873508804,0.31557875871658325,0.33135298,0.05184182097261527
HSD17B11,-3.337860107421875e-06,0.41440285783223213,0.32116857171058655,0.17782073,0.30679548204059776
GEMIN6,-3.5762786865234375e-06,0.47967005458757117,0.37517067790031433,0.11198302,0.5218736810089517
RRP9,-4.0531158447265625e-06,0.5666599100308486,0.4564836025238037,-0.04933554,0.7783699051329656
SPINT2,-4.291534423828125e-06,1.0459903566233233,0.795865535736084,0.039457418,0.821945684309843
CLTCL1,-5.0067901611328125e-06,0.49269539498189574,0.4100032150745392,0.46769837,0.00461081913413781
VPS52,-5.602836608886719e-06,0.3150751229239417,0.24183616042137146,-0.09047939,0.6052221523862562
FASN,-5.602836608886719e-06,1.060749575526512,0.8461107611656189,0.23070052,0.182419071490318
IRF3,-5.841255187988281e-06,0.40095422666747754,0.3243173658847809,-0.028791435,0.869589273977124
GABPA,-6.079673767089844e-06,0.46159191874643857,0.379766047000885,0.6018379,0.00013103608075169535
NDUFAB1,-6.318092346191406e-06,0.482410863217843,0.38515806198120117,-0.13615982,0.4354379976911026
AQR,-6.556510925292969e-06,0.4381769426766457,0.34218236804008484,-0.10002792,0.5675126567930806
SCAF1,-7.152557373046875e-06,0.3718321230556763,0.2657638192176819,0.020106968,0.9087261690682185
FGB,-7.748603820800781e-06,0.6341176408280143,0.5049386620521545,-0.26919073,0.11787863005287276
GGT7,-7.867813110351562e-06,0.5215409208922593,0.38719287514686584,-0.06378266,0.7158502410874473
NNT,-8.106231689453125e-06,0.9706208714227261,0.7033042311668396,0.1082198,0.536043311192426
TMA7,-8.106231689453125e-06,0.3973284038800896,0.3147555887699127,0.34584415,0.041849455403678744
SYNM,-8.106231689453125e-06,1.0933482931051801,0.8090918660163879,0.16129947,0.35460934000957384
DDX18,-8.58306884765625e-06,0.5023640535086984,0.4285804033279419,-0.08836524,0.6137140060214423
VPS4B,-8.702278137207031e-06,0.6341646371834856,0.49811962246894836,-0.33633772,0.048209873346833694
PHF14,-9.179115295410156e-06,0.3838584972984437,0.3042875826358795,-0.084435694,0.6296286726755482
UQCC3,-9.775161743164062e-06,0.45998215677028476,0.3691161870956421,0.35555562,0.03606921236715621
DUT,-1.049041748046875e-05,0.9918675545098711,0.7863017320632935,-0.09850639,0.573448845748008
PQBP1,-1.239776611328125e-05,0.6371657785676712,0.49243131279945374,0.39039633,0.020416912887382028
SPRYD7,-1.3947486877441406e-05,0.45177950545168943,0.3603832721710205,0.104129046,0.5516529125907087
CZIB,-1.4185905456542969e-05,0.8511518485666291,0.6607015132904053,0.61789715,7.653777504334792e-05
COPS7B,-1.430511474609375e-05,0.4597032477134047,0.3452640473842621,-0.49214998,0.0026730807591148834
SPCS3,-1.4662742614746094e-05,0.5381453908763135,0.4089806377887726,0.58724016,0.0002084797746238131
SPECC1,-1.4781951904296875e-05,0.7112957397663717,0.6022390127182007,0.7315024,5.976691794002138e-07
PABPC4,-1.5139579772949219e-05,0.8248439424474441,0.6352752447128296,-0.042847797,0.8069235665132041
PPP1R18,-1.5616416931152344e-05,0.9197574152604782,0.7363072633743286,-0.4339335,0.009203835636158505
TPM2,-1.5854835510253906e-05,1.0559183920660868,0.9001218676567078,0.45756912,0.005714340517080646
PCYT2,-1.5854835510253906e-05,0.6747801758307088,0.5411436557769775,-0.122463994,0.48340336392821825
NCAPG,-1.609325408935547e-05,0.7867134177397536,0.657170295715332,0.014161456,0.935647437212114
RIPOR1,-1.6927719116210938e-05,0.46614765365785044,0.3767707347869873,0.19848242,0.25303475787602314
ARFIP1,-1.704692840576172e-05,0.5886341601809537,0.4548128843307495,-0.14168262,0.4168650919776078
SUDS3,-1.823902130126953e-05,0.5871200073254064,0.4725918471813202,0.39348194,0.019358710426905245
VPS37C,-1.8596649169921875e-05,0.5200216803707791,0.3890749216079712,0.018186798,0.9174110101734472
RRM2,-1.919269561767578e-05,1.1251317582857185,0.9103488922119141,-0.54954046,0.0006278831092093546
HSP90B1,-1.9311904907226562e-05,0.4514864530843928,0.34359028935432434,0.5813203,0.0002501138785259531
TRUB1,-2.0503997802734375e-05,0.49218292839712496,0.3647337257862091,-0.28173023,0.10108609301944144
DLD,-2.0742416381835938e-05,0.6913495013552955,0.5745612382888794,0.57274896,0.00032357450718229494
DDX27,-2.0742416381835938e-05,0.5623725640794679,0.46319183707237244,-0.29606217,0.08419095726093746
NDUFS1,-2.1576881408691406e-05,0.554697144115586,0.43280526995658875,-0.2927986,0.08783180439571667
WRNIP1,-2.2411346435546875e-05,0.7442927567972782,0.6116558909416199,-0.5618509,0.00044442890652551104
