Feature,R2,RMSE,MAE,Correlation,P_value
PTCD3,0.014175832271575928,0.4269217867924289,0.30892008543014526,0.56280947,0.0004323844302015302
BCAP31,0.012268900871276855,0.7415677745838879,0.6417397856712341,0.7813184,3.041567981416505e-08
ANK3,0.01186901330947876,0.3934580492587352,0.3134223520755768,0.48201394,0.00336700935382961
CHD2,0.010368406772613525,0.4084842389251747,0.3143119513988495,0.4975004,0.0023597697995549963
EMC2,0.010286867618560791,0.45514763559085386,0.3734125792980194,0.63031703,4.9465768525126664e-05
RIPOR1,0.010134577751159668,0.4637756096639775,0.375123530626297,0.58184695,0.0002461299690804758
EMC7,0.010079026222229004,0.5246834799889156,0.41741397976875305,0.71621007,1.3125125997013602e-06
TMEM209,0.010066568851470947,0.33221017840855604,0.27476346492767334,0.53859276,0.0008444505080044901
PICALM,0.009822309017181396,0.6373924248754848,0.569880485534668,0.7174835,1.2316780759811725e-06
MRPS14,0.009376227855682373,0.5229511563704183,0.39653217792510986,0.738975,3.9908345083125777e-07
SINHCAF,0.0092695951461792,0.5342855958714438,0.44000181555747986,0.6880301,4.937644351837113e-06
ZFPL1,0.009102463722229004,0.7325009722914769,0.6177994608879089,0.81003267,3.755195848709194e-09
SAR1A,0.009072184562683105,0.4922381783688939,0.4159022867679596,0.37778312,0.02525554785976345
RPN2,0.009038329124450684,0.7301002021500856,0.61174476146698,0.720213,1.0735528685256008e-06
MYL6,0.008966028690338135,0.7774826769110219,0.6656360030174255,0.57073706,0.0003433835786643684
FAM20B,0.008814990520477295,0.49445012166869157,0.3410070836544037,0.4518666,0.006430193385945071
CTTN,0.008655309677124023,0.6831312304227476,0.5538593530654907,0.63526106,4.135574265813932e-05
COMT,0.008589446544647217,0.7442855093176193,0.5281888842582703,0.63216597,4.6278468971451286e-05
MRPL24,0.008410930633544922,0.4839970282993435,0.3658199906349182,0.7947666,1.1896066945785166e-08
RCC1L,0.0084075927734375,0.5201888547506386,0.41343003511428833,0.61636287,8.067499105720467e-05
DHCR7,0.008233487606048584,0.5968064143934909,0.45785582065582275,0.55822515,0.0004927311145629306
THEM6,0.00800389051437378,0.5287449905031948,0.4350499212741852,0.61794806,7.640385786214861e-05
MRPL4,0.00788182020187378,0.4242977054807669,0.34491077065467834,0.4800613,0.0035173005179625584
SEC11A,0.007818341255187988,0.771584921936329,0.6397903561592102,0.65737224,1.784504980036373e-05
ATAD1,0.007815062999725342,0.47581950881047086,0.35389190912246704,0.59766287,0.00014999137421618208
SIPA1,0.007706403732299805,1.0879269496256918,0.9785532355308533,0.8932497,5.337605379425002e-13
STAT2,0.007433831691741943,0.4835899667175899,0.4244935214519501,0.42299858,0.011350741871708933
BAIAP2,0.007431507110595703,0.612813224305732,0.493470698595047,0.5478445,0.0006578155539532762
CSK,0.007407844066619873,0.659839238000755,0.5160460472106934,0.59092385,0.00018581680664616937
NSMCE3,0.007384240627288818,0.3447387520253268,0.280458927154541,0.7562417,1.487105817648671e-07
NFYC,0.007071077823638916,0.6279632891597634,0.514959454536438,0.76462805,8.938061818534416e-08
CLPB,0.006852090358734131,0.3830982231876609,0.30574101209640503,0.48492253,0.0031534812340974485
HABP4,0.006801128387451172,0.4557950671550055,0.37839624285697937,0.45591223,0.005914903257559139
CTNNA1,0.0067498087882995605,1.1545144019767113,0.9964418411254883,0.8259593,1.0049986061714687e-09
LAMTOR1,0.006733417510986328,0.6787654278514008,0.5411860942840576,0.62857616,5.2646451137193267e-05
PHLDA2,0.006716489791870117,0.3894744140254769,0.29627442359924316,0.29872817,0.08130415191521784
SUCLG1,0.006551861763000488,0.7502331371350788,0.5926868319511414,0.6568395,1.822466503022707e-05
PDCL,0.006401360034942627,0.5375468466548349,0.43160390853881836,0.6355616,4.090392863103545e-05
ZNF787,0.006389737129211426,0.5124165676404496,0.3616844713687897,0.48069093,0.0034682135416294114
CPSF4,0.006102263927459717,0.36119557604298363,0.30082809925079346,0.32208356,0.05917362556947421
HSDL2,0.006073892116546631,0.8157498582003369,0.6891468167304993,0.63530725,4.1285912876301e-05
ECM1,0.006063640117645264,0.5957005735248894,0.4753742218017578,0.57609284,0.000292894307307025
TIMM10,0.006035447120666504,0.46052280456954026,0.3677259087562561,0.30210328,0.07776013305841716
RAI14,0.00592195987701416,0.8731098195028112,0.7411715984344482,0.5672088,0.0003807492410360871
SUPV3L1,0.005919158458709717,0.5848015263913896,0.48564857244491577,0.6733401,9.310513627705184e-06
NDUFB6,0.00589144229888916,0.45299343961634725,0.3745236098766327,0.43803373,0.008493245391090308
NME3,0.005822181701660156,0.8217204046441273,0.6686801314353943,0.5598776,0.0004701668671267056
FAM3C,0.0058155059814453125,0.7437475172370055,0.5901864767074585,0.749748,2.1756935504148246e-07
TPD52L2,0.0057852864265441895,0.6592679113053181,0.5578373670578003,0.40009427,0.01724427155347865
LRRC57,0.0057416558265686035,0.5527351568101941,0.39941486716270447,0.5487778,0.000641191208566249
AHNAK,0.005737423896789551,1.8764495968106172,1.736565351486206,0.8250785,1.0847015962946571e-09
ZNF281,0.005683779716491699,0.2758208357197286,0.246884286403656,0.28305846,0.09941981311514311
ALG1,0.005599081516265869,0.5583082683355465,0.4501191973686218,0.6823797,6.3287785434618964e-06
MRPL55,0.005590081214904785,0.5053436419268855,0.3901628851890564,0.56539756,0.0004013027790001227
ZNF24,0.0055089592933654785,0.5715804441043176,0.43492090702056885,0.7813191,3.041421446115384e-08
MRPL45,0.005503952503204346,0.41634581451144664,0.31998053193092346,0.5691632,0.0003596274273269381
LMAN2,0.005478262901306152,0.7802310784101146,0.6727227568626404,0.7956623,1.114784141834003e-08
NDUFS4,0.005425751209259033,0.5901814687611182,0.4808388948440552,0.38289708,0.02319062421342197
PCBD2,0.005405604839324951,0.4127379590813408,0.3268698453903198,0.32232454,0.05897320401677431
TFB2M,0.005280911922454834,0.5275129541279934,0.4114416241645813,0.5880781,0.00020311848169834805
SLC2A1,0.005263984203338623,1.126682824257857,0.9536503553390503,0.7776171,3.893565969619194e-08
FBXO2,0.005225002765655518,1.0638307764424129,0.8642935156822205,0.67181706,9.923312789199972e-06
S100A10,0.005193471908569336,1.55384980449698,1.368277668952942,0.8565199,5.282744389330623e-11
IQGAP1,0.005172610282897949,0.791053187102474,0.6629607081413269,0.63225687,4.612657176780224e-05
RRBP1,0.005171298980712891,1.4055344350498717,1.2422372102737427,0.8022468,6.84581884212117e-09
GSTZ1,0.005124032497406006,0.4293191024121525,0.31647688150405884,0.4613017,0.005283828976511945
LRP1,0.005108296871185303,1.0643065745411475,0.8333825469017029,0.6403191,3.432121139114634e-05
TSNAX,0.005088329315185547,0.5883597596404951,0.4057225286960602,0.5375844,0.0008673811155963765
S100A11,0.005044996738433838,1.6421291177609005,1.4110383987426758,0.8398391,2.8457759876945373e-10
KDM2A,0.004958987236022949,0.7024539924638457,0.5809611082077026,0.4214634,0.01168363327797542
CTSA,0.004885852336883545,0.9195848564396908,0.7857065200805664,0.68495774,5.654955651903823e-06
SYNPO,0.004847824573516846,0.6231973161506768,0.48295164108276367,0.6429,3.116616632112003e-05
HEXB,0.004801452159881592,0.920601174848438,0.7624601125717163,0.62541777,5.8892164324874594e-05
STX3,0.004763662815093994,0.5728234446427416,0.46076124906539917,0.5387739,0.0008403900457194974
EHHADH,0.004593312740325928,0.5621783608525485,0.46554598212242126,0.6859749,5.407613530769173e-06
MTDH,0.004583418369293213,0.5116930947897762,0.3974698781967163,0.6174026,7.785004853648455e-05
NIP7,0.004546999931335449,0.5665531362610884,0.456478089094162,0.5139619,0.0015875869398400378
ACAA1,0.004364371299743652,1.1475413971957147,1.0150469541549683,0.88753814,1.2072134135738822e-12
PALLD,0.004317760467529297,0.5176991447180819,0.4115818738937378,0.2700707,0.11663628553212183
GOSR1,0.004292845726013184,0.6299587706668565,0.5390565991401672,0.7166455,1.284345821234872e-06
PHC2,0.004287123680114746,0.6108346476894183,0.49787890911102295,0.66474754,1.3277041619249178e-05
NDC1,0.004280030727386475,0.4237831021491987,0.3334399163722992,0.5707241,0.000343514960122316
CLPTM1,0.004237115383148193,0.8655108490191775,0.6753385066986084,0.7561745,1.4930549272112874e-07
NNMT,0.004229187965393066,0.619254694397635,0.489891916513443,0.35462013,0.036596117372446516
NFATC2IP,0.004206538200378418,0.5449508878032671,0.41613104939460754,0.37841174,0.024993793463719438
PPM1A,0.004157721996307373,0.6757288565198095,0.552044153213501,0.8048099,5.634470588631605e-09
SH3KBP1,0.004156231880187988,0.612354696321486,0.5016382932662964,0.3792165,0.024662054748878597
MRPL13,0.004142880439758301,0.5032026420535273,0.3971829414367676,0.7440402,3.0116001749137275e-07
GNG12,0.004104733467102051,1.3686892300009588,1.1799938678741455,0.79887944,8.804296983410555e-09
YWHAH,0.004085183143615723,0.8844315864603054,0.7115658521652222,0.578128,0.00027551910642540565
HS2ST1,0.004081547260284424,0.5854692495449308,0.41395291686058044,0.37510473,0.026396132862331324
TFAM,0.0040569305419921875,0.5056061276472709,0.4399683475494385,0.2987114,0.08132210940538716
CRNKL1,0.003999829292297363,0.37709851006092393,0.2921856939792633,0.3805892,0.024104481565874587
MRPS18B,0.0039994120597839355,0.597865398437554,0.46517932415008545,0.6846913,5.721430414649895e-06
GFM2,0.0039640069007873535,0.48490441523359273,0.37971749901771545,0.38495374,0.02240061771295755
HNRNPF,0.003950357437133789,0.36332212238703804,0.3090825080871582,0.19428244,0.2634197948587964
POLR2I,0.0039403438568115234,0.4030942675978081,0.3190673291683197,0.45702645,0.005779372121942503
