Feature,R2,RMSE,MAE,Correlation,P_value
MRPL45,0.017778456211090088,0.4137684659784364,0.32051804661750793,0.6517074,2.2275139917472644e-05
PTCD3,0.015304088592529297,0.4266774256785197,0.3101066052913666,0.565964,0.0003947709035323922
PICALM,0.014227569103240967,0.6359729963139014,0.5683533549308777,0.73415,5.187773934188905e-07
MRPL13,0.014180600643157959,0.5006602219896149,0.3946273922920227,0.75977236,1.2032167623681715e-07
EMC7,0.013659417629241943,0.5237337668914483,0.41512832045555115,0.7184254,1.1748505163284964e-06
BCAP31,0.01363593339920044,0.7410544329481897,0.6412832140922546,0.7699555,6.397941971345191e-08
EHHADH,0.013365030288696289,0.5596958572130096,0.4629679024219513,0.69718665,3.2634153626693415e-06
CLPB,0.013026058673858643,0.3819055908362248,0.3058106601238251,0.454319,0.0061134337279489
MRPL24,0.012232661247253418,0.4830634141040494,0.36412397027015686,0.7993518,8.501367936890752e-09
ATAD1,0.012160062789916992,0.4747765172198852,0.35386452078819275,0.60511845,0.00011768146940960879
MRPS14,0.01195991039276123,0.5222687554961076,0.3950668275356293,0.7543402,1.664389958668225e-07
RIPOR1,0.011200964450836182,0.4635257146712235,0.3747800290584564,0.6554991,1.9212401031578454e-05
CLIP1,0.01074594259262085,0.5738758698317463,0.4790847897529602,0.6436371,3.0314497553151137e-05
LMAN2,0.010495603084564209,0.778260500343528,0.6708661317825317,0.8352591,4.3709316112567013e-10
THEM6,0.01044464111328125,0.5280941181069839,0.4343731999397278,0.5955089,0.00016070308650587413
SEC11A,0.01000356674194336,0.770734746316187,0.6370293498039246,0.6258534,5.799259730198569e-05
MRPL15,0.00989609956741333,0.41268835030282824,0.3373343348503113,0.6287061,5.240281487772398e-05
CSK,0.009748280048370361,0.6590608842955636,0.5155177712440491,0.6167388,7.964297178517796e-05
ANK3,0.00968998670578003,0.39389163754697853,0.31460708379745483,0.47188494,0.004211565133939953
MTDH,0.009662747383117676,0.5103858886573728,0.3965087831020355,0.6361392,4.00481121529582e-05
ZFPL1,0.009402871131896973,0.7323899325716916,0.6151520609855652,0.7728055,5.3306075432204056e-08
SAR1A,0.009399473667144775,0.492156890643945,0.41577669978141785,0.3883265,0.021153367288558027
PHLDA2,0.009223222732543945,0.38898265816025607,0.2948679029941559,0.30599743,0.07382145298817366
SIPA1,0.009071528911590576,1.0871782967050985,0.9775547385215759,0.89018226,8.320060959421422e-13
RAB25,0.00902646780014038,0.5917060203180214,0.4674505591392517,0.636158,4.002047773324984e-05
SYNGR2,0.008912742137908936,0.6349177251665864,0.5401523113250732,0.66930914,1.1012774297836596e-05
TMOD3,0.008855104446411133,0.7593756216541148,0.6799018979072571,0.8748771,6.365421528790361e-12
IQGAP1,0.00882786512374878,0.7895985661415369,0.6632159352302551,0.6837565,5.96034514086317e-06
PLXNB2,0.008815228939056396,0.7275509417287312,0.6109631061553955,0.7376583,4.2893877699064943e-07
YBX3,0.008580207824707031,1.009437552010825,0.8895128965377808,0.69862634,3.053494436447496e-06
STX17,0.008439719676971436,0.40374825521511376,0.3262726962566376,0.43811238,0.00848008089915972
NDUFB6,0.0083237886428833,0.45243892030879007,0.37415751814842224,0.44187444,0.007870571114909576
